Keyword,#,Name,Phone,Website,Country,"Country code",City,Category,"Category List",Likes,"Talking about","Facebook ID","Facebook Url","Facebook Page Link","P2S Website"
"Bed & Breakfast Accommodation",0,"Cygnet's Secret Garden, Bed & Breakfast - Accommodation","+61 6295 0223",http://www.cygnets-secret-garden.com.au,,,,Travel/leisure,,108,1,673448822728459,http://www.facebook.com/673448822728459,"=HYPERLINK(""http://www.facebook.com/673448822728459/?sk=info"", ""673448822728459"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:673448822728459"", ""Create"")"
"Bed & Breakfast Accommodation",1,"Drury Homestead, Bed and Breakfast Accommodation","+64 9 2949 030",,"New Zealand",64,Auckland,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",96,,280734435271047,http://www.facebook.com/280734435271047,"=HYPERLINK(""http://www.facebook.com/280734435271047/?sk=info"", ""280734435271047"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:280734435271047"", ""Create"")"
"Bed & Breakfast Accommodation",2,"Kenmare House B&B,bed & breakfast ,accommodation",0646641283,www.kenmarehousebandb.com,Ireland,353,Kenmare,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""}]",133,14,161022410615944,http://www.facebook.com/161022410615944,"=HYPERLINK(""http://www.facebook.com/161022410615944/?sk=info"", ""161022410615944"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:161022410615944"", ""Create"")"
"Bed & Breakfast Accommodation",3,"Cornlee Guest House - Bed & Breakfast Accommodation","01969 663779",www.cornlee.co.uk,"United Kingdom",44,Aysgarth,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""164243073639257"",""name"":""Hotel""}]",77,11,428359530573834,http://www.facebook.com/428359530573834,"=HYPERLINK(""http://www.facebook.com/428359530573834/?sk=info"", ""428359530573834"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:428359530573834"", ""Create"")"
"Bed & Breakfast Accommodation",4,"Dubrovnik bed and breakfast - Accommodation in Croatia",+385912015591,www.dubrovnikbedandbreakfast.com,Croatia,385,Dubrovnik,Travel/leisure,"[{""id"":""164243073639257"",""name"":""Hotel""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",471,,161146607985,http://www.facebook.com/161146607985,"=HYPERLINK(""http://www.facebook.com/161146607985/?sk=info"", ""161146607985"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:161146607985"", ""Create"")"
"Bed & Breakfast Accommodation",5,"Eagle's Nest Bed & Breakfast, Grahamstown Accommodation, Eastern Cape",0826570359,http://www.eaglesnestbnb.co.za,"South Africa",27,Grahamstown,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",203,1,131680997030489,http://www.facebook.com/131680997030489,"=HYPERLINK(""http://www.facebook.com/131680997030489/?sk=info"", ""131680997030489"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:131680997030489"", ""Create"")"
"Bed & Breakfast Accommodation",6,"Westward Bed and Breakfast Accommodation, Newquay Cornwall.","0044 (0) 1637871627",http://www.westwardnewquay.co.uk/,"United Kingdom",44,Newquay,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""}]",118,,358203419332,http://www.facebook.com/358203419332,"=HYPERLINK(""http://www.facebook.com/358203419332/?sk=info"", ""358203419332"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:358203419332"", ""Create"")"
"Bed & Breakfast Accommodation",7,"Sally Webster Inn, a Bed & Breakfast Accommodation in Rockport, MA","(978) 546-9251",www.sallywebster.com,"United States",1,Rockport,Hotel,"[{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""164243073639257"",""name"":""Hotel""}]",216,,167988263232412,http://www.facebook.com/167988263232412,"=HYPERLINK(""http://www.facebook.com/167988263232412/?sk=info"", ""167988263232412"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:167988263232412"", ""Create"")"
"Bed & Breakfast Accommodation",8,"Haye Farm Bed and Breakfast accommodation","01297 551504",www.hayefarm.net,"United Kingdom",44,Axminster,"Local business",,144,,181595758545630,http://www.facebook.com/181595758545630,"=HYPERLINK(""http://www.facebook.com/181595758545630/?sk=info"", ""181595758545630"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:181595758545630"", ""Create"")"
"Bed & Breakfast Accommodation",9,"A Stones Throw Bed and Breakfast, Grahamstown Accommodation, Eastern Cape",0836519244,http://www.astonesthrow.co.za,"South Africa",27,Grahamstown,Hotel,"[{""id"":""164243073639257"",""name"":""Hotel""},{""id"":""110321355709642"",""name"":""Bed and Breakfast""},{""id"":""213629078651577"",""name"":""Cabin""}]",3257,25,31928133298,http://www.facebook.com/31928133298,"=HYPERLINK(""http://www.facebook.com/31928133298/?sk=info"", ""31928133298"")","=HYPERLINK(""http://builder.page2site.com/sites/add/fbid:31928133298"", ""Create"")"
